x,y,z,U_x,U_y,U_z
0.0003125,0.049063,0.005,0.0133342,0.288168,0
0.0009375,0.049063,0.005,0.0300217,0.302811,0
0.0015625,0.049063,0.005,0.156214,0.215994,0
0.0021875,0.049063,0.005,0.289573,0.1464,0
0.0028125,0.049063,0.005,0.397075,0.100128,0
0.0034375,0.049063,0.005,0.481249,0.07024519999999999,0
0.0040625,0.049063,0.005,0.547401,0.0510065,0
0.0046875,0.049063,0.005,0.599742,0.0383896,0
0.0053125,0.049063,0.005,0.641702,0.0298408,0
0.0059375,0.049063,0.005,0.675887,0.0238344,0
0.0065625,0.049063,0.005,0.70418,0.0194674,0
0.0071875,0.049063,0.005,0.727928,0.0161945,0
0.0078125,0.049063,0.005,0.748112,0.0136769,0
0.008437500000000001,0.049063,0.005,0.765456,0.0116971,0
0.009062499999999999,0.049063,0.005,0.780501,0.0101106,0
0.0096875,0.049063,0.005,0.79366,0.00881883,0
0.0103125,0.049063,0.005,0.8052550000000001,0.00775234,0
0.0109375,0.049063,0.005,0.815536,0.00686112,0
0.0115625,0.049063,0.005,0.824703,0.00610841,0
0.0121875,0.049063,0.005,0.832919,0.00546664,0
0.0128125,0.049063,0.005,0.840314,0.00491484,0
0.0134375,0.049063,0.005,0.846998,0.00443679,0
0.0140625,0.049063,0.005,0.853059,0.00401981,0
0.0146875,0.049063,0.005,0.8585739999999999,0.00365385,0
0.0153125,0.049063,0.005,0.863605,0.00333088,0
0.0159375,0.049063,0.005,0.868207,0.00304439,0
0.0165625,0.049063,0.005,0.872427,0.00278909,0
0.0171875,0.049063,0.005,0.876304,0.00256061,0
0.0178125,0.049063,0.005,0.879872,0.00235536,0
0.0184375,0.049063,0.005,0.883163,0.00217032,0
0.0190625,0.049063,0.005,0.886202,0.00200295,0
0.0196875,0.049063,0.005,0.8890130000000001,0.00185113,0
0.0203125,0.049063,0.005,0.891615,0.00171302,0
0.0209375,0.049063,0.005,0.894028,0.00158707,0
0.0215625,0.049063,0.005,0.896268,0.00147196,0
0.0221875,0.049063,0.005,0.898348,0.00136651,0
0.0228125,0.049063,0.005,0.9002830000000001,0.00126973,0
0.0234375,0.049063,0.005,0.902083,0.00118076,0
0.0240625,0.049063,0.005,0.903759,0.00109881,0
