x,y,z,U_x,U_y,U_z
0.0003125,0.199688,0.005,0.304213,0.146891,0
0.0009375,0.199688,0.005,0.404948,0.127511,0
0.0015625,0.199688,0.005,0.568661,0.07493130000000001,0
0.0021875,0.199688,0.005,0.686634,0.0424061,0
0.0028125,0.199688,0.005,0.756598,0.0247849,0
0.0034375,0.199688,0.005,0.801295,0.0152213,0
0.0040625,0.199688,0.005,0.8322889999999999,0.00994009,0
0.0046875,0.199688,0.005,0.854841,0.0069162,0
0.0053125,0.199688,0.005,0.871923,0.00508698,0
0.0059375,0.199688,0.005,0.885328,0.00391089,0
0.0065625,0.199688,0.005,0.896146,0.00311074,0
0.0071875,0.199688,0.005,0.90507,0.00253969,0
0.0078125,0.199688,0.005,0.912563,0.00211609,0
0.008437500000000001,0.199688,0.005,0.918945,0.0017921,0
0.009062499999999999,0.199688,0.005,0.924447,0.00153815,0
0.0096875,0.199688,0.005,0.929242,0.00133509,0
0.0103125,0.199688,0.005,0.933456,0.00117001,0
0.0109375,0.199688,0.005,0.937189,0.0010339,0
0.0115625,0.199688,0.005,0.94052,0.00092029,0
0.0121875,0.199688,0.005,0.943509,0.000824442,0
0.0128125,0.199688,0.005,0.946207,0.000742804,0
0.0134375,0.199688,0.005,0.948654,0.000672672,0
0.0140625,0.199688,0.005,0.950883,0.000611959,0
0.0146875,0.199688,0.005,0.952921,0.00055903,0
0.0153125,0.199688,0.005,0.954792,0.000512593,0
0.0159375,0.199688,0.005,0.956515,0.000471611,0
0.0165625,0.199688,0.005,0.958107,0.000435248,0
0.0171875,0.199688,0.005,0.959581,0.000402823,0
0.0178125,0.199688,0.005,0.96095,0.000373774,0
0.0184375,0.199688,0.005,0.962225,0.000347639,0
0.0190625,0.199688,0.005,0.963413,0.000324029,0
0.0196875,0.199688,0.005,0.964524,0.000302621,0
0.0203125,0.199688,0.005,0.965564,0.000283139,0
0.0209375,0.199688,0.005,0.966539,0.000265352,0
0.0215625,0.199688,0.005,0.967455,0.000249061,0
0.0221875,0.199688,0.005,0.968317,0.000234095,0
0.0228125,0.199688,0.005,0.969128,0.000220308,0
0.0234375,0.199688,0.005,0.969893,0.000207573,0
0.0240625,0.199688,0.005,0.970615,0.000195778,0
0.0246875,0.199688,0.005,0.971296,0.000184828,0
0.0253125,0.199688,0.005,0.9719410000000001,0.000174639,0
0.0259375,0.199688,0.005,0.9725510000000001,0.000165136,0
0.0265625,0.199688,0.005,0.973128,0.000156253,0
0.0271875,0.199688,0.005,0.973675,0.000147933,0
0.0278125,0.199688,0.005,0.974194,0.000140125,0
0.0284375,0.199688,0.005,0.974685,0.000132782,0
0.0290625,0.199688,0.005,0.975152,0.000125864,0
0.0296875,0.199688,0.005,0.975594,0.000119334,0
0.0303125,0.199688,0.005,0.976014,0.00011316,0
0.0309375,0.199688,0.005,0.976413,0.000107311,0
0.0315625,0.199688,0.005,0.976791,0.000101761,0
0.0321875,0.199688,0.005,0.97715,9.64863e-05,0
0.0328125,0.199688,0.005,0.97749,9.14643e-05,0
0.0334375,0.199688,0.005,0.977813,8.66753e-05,0
0.0340625,0.199688,0.005,0.97812,8.21011e-05,0
0.0346875,0.199688,0.005,0.97841,7.77253e-05,0
0.0353125,0.199688,0.005,0.978685,7.35324e-05,0
0.0359375,0.199688,0.005,0.978945,6.950869999999999e-05,0
0.0365625,0.199688,0.005,0.979191,6.56412e-05,0
0.0371875,0.199688,0.005,0.979424,6.1918e-05,0
0.0378125,0.199688,0.005,0.979643,5.83284e-05,0
0.0384375,0.199688,0.005,0.97985,5.48619e-05,0
0.0390625,0.199688,0.005,0.980044,5.15093e-05,0
0.0396875,0.199688,0.005,0.980227,4.82617e-05,0
0.0403125,0.199688,0.005,0.980398,4.51108e-05,0
0.0409375,0.199688,0.005,0.980558,4.20491e-05,0
0.0415625,0.199688,0.005,0.980707,3.90691e-05,0
0.0421875,0.199688,0.005,0.980845,3.6164e-05,0
0.0428125,0.199688,0.005,0.980973,3.33275e-05,0
0.0434375,0.199688,0.005,0.981091,3.05532e-05,0
0.0440625,0.199688,0.005,0.9812,2.78355e-05,0
0.0446875,0.199688,0.005,0.981298,2.51686e-05,0
0.0453125,0.199688,0.005,0.981387,2.25472e-05,0
0.0459375,0.199688,0.005,0.9814659999999999,1.99662e-05,0
0.0465625,0.199688,0.005,0.981537,1.74205e-05,0
