x,y,z,U_x,U_y,U_z
0.0003125,0.049688,0.005,0.275662,0.140967,0
0.0009375,0.049688,0.005,0.349487,0.122437,0
0.0015625,0.049688,0.005,0.490841,0.0776358,0
0.0021875,0.049688,0.005,0.599276,0.0490426,0
0.0028125,0.049688,0.005,0.668826,0.0318549,0
0.0034375,0.049688,0.005,0.7161419999999999,0.0210727,0
0.0040625,0.049688,0.005,0.750683,0.0142715,0
0.0046875,0.049688,0.005,0.776776,0.00999413,0
0.0053125,0.049688,0.005,0.796993,0.00726808,0
0.0059375,0.049688,0.005,0.813084,0.00548453,0
0.0065625,0.049688,0.005,0.826215,0.00428069,0
0.0071875,0.049688,0.005,0.837157,0.00344116,0
0.0078125,0.049688,0.005,0.846434,0.00283604,0
0.008437500000000001,0.049688,0.005,0.854413,0.00238585,0
0.009062499999999999,0.049688,0.005,0.86136,0.00204108,0
0.0096875,0.049688,0.005,0.86747,0.00177027,0
0.0103125,0.049688,0.005,0.872892,0.00155288,0
0.0109375,0.049688,0.005,0.87774,0.0013751,0
0.0115625,0.049688,0.005,0.882103,0.00122744,0
0.0121875,0.049688,0.005,0.886052,0.00110314,0
0.0128125,0.049688,0.005,0.889644,0.000997295,0
0.0134375,0.049688,0.005,0.892927,0.000906276,0
0.0140625,0.049688,0.005,0.895939,0.00082732,0
0.0146875,0.049688,0.005,0.898712,0.000758299,0
0.0153125,0.049688,0.005,0.901274,0.00069755,0
0.0159375,0.049688,0.005,0.903648,0.000643756,0
0.0165625,0.049688,0.005,0.905854,0.000595863,0
0.0171875,0.049688,0.005,0.907908,0.000553018,0
0.0178125,0.049688,0.005,0.909826,0.000514528,0
0.0184375,0.049688,0.005,0.91162,0.000479823,0
0.0190625,0.049688,0.005,0.913301,0.000448435,0
0.0196875,0.049688,0.005,0.91488,0.000419975,0
0.0203125,0.049688,0.005,0.916366,0.00039412,0
0.0209375,0.049688,0.005,0.917766,0.000370599,0
0.0215625,0.049688,0.005,0.919087,0.000349187,0
0.0221875,0.049688,0.005,0.920337,0.000329692,0
0.0228125,0.049688,0.005,0.921521,0.000311955,0
0.0234375,0.049688,0.005,0.922645,0.000295841,0
0.0240625,0.049688,0.005,0.923713,0.000281235,0
0.0246875,0.049688,0.005,0.924731,0.00026804,0
0.0253125,0.049688,0.005,0.9257030000000001,0.000256171,0
0.0259375,0.049688,0.005,0.926632,0.000245557,0
0.0265625,0.049688,0.005,0.927524,0.000236135,0
0.0271875,0.049688,0.005,0.928381,0.000227851,0
0.0278125,0.049688,0.005,0.929207,0.000220654,0
0.0284375,0.049688,0.005,0.930006,0.0002145,0
0.0290625,0.049688,0.005,0.930781,0.000209348,0
0.0296875,0.049688,0.005,0.931534,0.000205156,0
0.0303125,0.049688,0.005,0.93227,0.000201887,0
0.0309375,0.049688,0.005,0.932991,0.000199501,0
0.0315625,0.049688,0.005,0.9336989999999999,0.00019796,0
0.0321875,0.049688,0.005,0.934398,0.000197224,0
0.0328125,0.049688,0.005,0.9350889999999999,0.000197249,0
0.0334375,0.049688,0.005,0.9357760000000001,0.000197993,0
0.0340625,0.049688,0.005,0.93646,0.000199408,0
0.0346875,0.049688,0.005,0.937145,0.000201445,0
0.0353125,0.049688,0.005,0.937831,0.000204051,0
0.0359375,0.049688,0.005,0.938521,0.000207171,0
0.0365625,0.049688,0.005,0.9392160000000001,0.000210747,0
0.0371875,0.049688,0.005,0.9399189999999999,0.000214717,0
0.0378125,0.049688,0.005,0.94063,0.000219016,0
0.0384375,0.049688,0.005,0.941351,0.000223577,0
0.0390625,0.049688,0.005,0.942083,0.000228331,0
0.0396875,0.049688,0.005,0.9428260000000001,0.000233206,0
0.0403125,0.049688,0.005,0.943582,0.00023813,0
0.0409375,0.049688,0.005,0.94435,0.000243028,0
0.0415625,0.049688,0.005,0.945132,0.000247824,0
0.0421875,0.049688,0.005,0.945927,0.000252446,0
0.0428125,0.049688,0.005,0.946735,0.000256817,0
0.0434375,0.049688,0.005,0.947555,0.000260866,0
0.0440625,0.049688,0.005,0.948388,0.00026452,0
0.0446875,0.049688,0.005,0.949231,0.000267712,0
0.0453125,0.049688,0.005,0.950085,0.000270376,0
0.0459375,0.049688,0.005,0.950947,0.000272451,0
0.0465625,0.049688,0.005,0.951817,0.000273879,0
0.0471875,0.049688,0.005,0.952693,0.000274609,0
0.0478125,0.049688,0.005,0.953573,0.000274594,0
0.0484375,0.049688,0.005,0.954456,0.000273794,0
0.0490625,0.049688,0.005,0.955338,0.000272176,0
0.0496875,0.049688,0.005,0.956219,0.000269714,0
0.0503125,0.049688,0.005,0.9570959999999999,0.000266387,0
0.0509375,0.049688,0.005,0.957966,0.000262185,0
0.0515625,0.049688,0.005,0.958827,0.000257103,0
0.0521875,0.049688,0.005,0.959677,0.000251145,0
0.0528125,0.049688,0.005,0.960514,0.00024432,0
0.0534375,0.049688,0.005,0.961334,0.000236647,0
0.0540625,0.049688,0.005,0.962135,0.000228149,0
0.0546875,0.049688,0.005,0.962915,0.000218857,0
0.0553125,0.049688,0.005,0.963672,0.000208807,0
0.0559375,0.049688,0.005,0.964403,0.000198042,0
0.0565625,0.049688,0.005,0.965106,0.000186606,0
0.0571875,0.049688,0.005,0.96578,0.000174551,0
0.0578125,0.049688,0.005,0.966421,0.00016193,0
0.0584375,0.049688,0.005,0.967028,0.000148797,0
0.0590625,0.049688,0.005,0.9676,0.00013521,0
0.0596875,0.049688,0.005,0.968135,0.000121226,0
0.0603125,0.049688,0.005,0.968631,0.000106901,0
0.0609375,0.049688,0.005,0.9690879999999999,9.229089999999999e-05,0
0.0615625,0.049688,0.005,0.969503,7.74491e-05,0
0.0621875,0.049688,0.005,0.969877,6.24264e-05,0
0.06281249999999999,0.049688,0.005,0.970208,4.72705e-05,0
0.06343749999999999,0.049688,0.005,0.970495,3.20245e-05,0
0.06406249999999999,0.049688,0.005,0.970738,1.67264e-05,0
0.0646875,0.049688,0.005,0.970936,1.40813e-06,0
0.0653125,0.049688,0.005,0.971089,-1.39047e-05,0
0.0659375,0.049688,0.005,0.971197,-2.91924e-05,0
