x,y,z,U_x,U_y,U_z
0.0003125,0.099688,0.005,0.297937,0.145469,0.0
0.0009375,0.099688,0.005,0.392442,0.126786,0.0
0.0015625,0.099688,0.005,0.551756,0.0758435,0.0
0.0021875,0.099688,0.005,0.668179,0.0439241,0.0
0.0028125,0.099688,0.005,0.73828,0.0261453,0.0
0.0034375,0.099688,0.005,0.783479,0.0161664,0.0
0.0040625,0.099688,0.005,0.814997,0.0105146,0.0
0.0046875,0.099688,0.005,0.837972,0.00724237,0.0
0.0053125,0.099688,0.005,0.855354,0.00526625,0.0
0.0059375,0.099688,0.005,0.86897,0.00400854,0.0
0.0065625,0.099688,0.005,0.879946,0.00316489,0.0
0.0071875,0.099688,0.005,0.888996,0.00257153,0.0
0.0078125,0.099688,0.005,0.896598,0.00213713,0.0
0.0084375,0.099688,0.005,0.903082,0.00180852,0.0
0.0090625,0.099688,0.005,0.908684,0.00155329,0.0
0.0096875,0.099688,0.005,0.913578,0.0013508,0.0
0.0103125,0.099688,0.005,0.917894,0.00118728,0.0
0.0109375,0.099688,0.005,0.921734,0.00105329,0.0
0.0115625,0.099688,0.005,0.925176,0.000942073,0.0
0.0121875,0.099688,0.005,0.928282,0.00084874,0.0
0.0128125,0.099688,0.005,0.931102,0.000769639,0.0
0.0134375,0.099688,0.005,0.933677,0.000702007,0.0
0.0140625,0.099688,0.005,0.93604,0.00064372,0.0
0.0146875,0.099688,0.005,0.938217,0.000593121,0.0
0.0153125,0.099688,0.005,0.940234,0.000548905,0.0
0.0159375,0.099688,0.005,0.942107,0.00051003,0.0
0.0165625,0.099688,0.005,0.943855,0.000475657,0.0
0.0171875,0.099688,0.005,0.94549,0.000445107,0.0
0.0178125,0.099688,0.005,0.947025,0.000417821,0.0
0.0184375,0.099688,0.005,0.948469,0.00039334,0.0
0.0190625,0.099688,0.005,0.949833,0.000371281,0.0
0.0196875,0.099688,0.005,0.951122,0.000351326,0.0
0.0203125,0.099688,0.005,0.952345,0.000333206,0.0
0.0209375,0.099688,0.005,0.953507,0.000316692,0.0
0.0215625,0.099688,0.005,0.954613,0.000301593,0.0
0.0221875,0.099688,0.005,0.955669,0.000287741,0.0
0.0228125,0.099688,0.005,0.956677,0.000274996,0.0
0.0234375,0.099688,0.005,0.957641,0.000263233,0.0
0.0240625,0.099688,0.005,0.958566,0.000252347,0.0
0.0246875,0.099688,0.005,0.959453,0.000242245,0.0
0.0253125,0.099688,0.005,0.960306,0.000232845,0.0
0.0259375,0.099688,0.005,0.961127,0.000224077,0.0
0.0265625,0.099688,0.005,0.961917,0.000215876,0.0
0.0271875,0.099688,0.005,0.962679,0.000208189,0.0
0.0278125,0.099688,0.005,0.963415,0.000200965,0.0
0.0284375,0.099688,0.005,0.964125,0.00019416,0.0
0.0290625,0.099688,0.005,0.964812,0.000187734,0.0
0.0296875,0.099688,0.005,0.965477,0.000181653,0.0
0.0303125,0.099688,0.005,0.966121,0.000175883,0.0
0.0309375,0.099688,0.005,0.966745,0.000170397,0.0
0.0315625,0.099688,0.005,0.96735,0.000165167,0.0
0.0321875,0.099688,0.005,0.967936,0.00016017,0.0
0.0328125,0.099688,0.005,0.968506,0.000155385,0.0
0.0334375,0.099688,0.005,0.969058,0.00015079,0.0
0.0340625,0.099688,0.005,0.969595,0.000146368,0.0
0.0346875,0.099688,0.005,0.970116,0.000142102,0.0
0.0353125,0.099688,0.005,0.970623,0.000137976,0.0
0.0359375,0.099688,0.005,0.971115,0.000133975,0.0
0.0365625,0.099688,0.005,0.971593,0.000130086,0.0
0.0371875,0.099688,0.005,0.972058,0.000126296,0.0
0.0378125,0.099688,0.005,0.97251,0.000122593,0.0
0.0384375,0.099688,0.005,0.972949,0.000118967,0.0
0.0390625,0.099688,0.005,0.973375,0.000115407,0.0
0.0396875,0.099688,0.005,0.973789,0.000111904,0.0
0.0403125,0.099688,0.005,0.974191,0.000108447,0.0
0.0409375,0.099688,0.005,0.974581,0.000105028,0.0
0.0415625,0.099688,0.005,0.97496,0.000101639,0.0
0.0421875,0.099688,0.005,0.975326,9.82729e-05,0.0
0.0428125,0.099688,0.005,0.975681,9.49209e-05,0.0
0.0434375,0.099688,0.005,0.976025,9.15766e-05,0.0
0.0440625,0.099688,0.005,0.976357,8.82331e-05,0.0
0.0446875,0.099688,0.005,0.976677,8.48839e-05,0.0
0.0453125,0.099688,0.005,0.976986,8.15228e-05,0.0
0.0459375,0.099688,0.005,0.977284,7.81439e-05,0.0
0.0465625,0.099688,0.005,0.97757,7.47415e-05,0.0
0.0471875,0.099688,0.005,0.977845,7.13102e-05,0.0
0.0478125,0.099688,0.005,0.978108,6.78449e-05,0.0
0.0484375,0.099688,0.005,0.978359,6.43404e-05,0.0
0.0490625,0.099688,0.005,0.978598,6.0792e-05,0.0
0.0496875,0.099688,0.005,0.978825,5.71951e-05,0.0
0.0503125,0.099688,0.005,0.97904,5.35451e-05,0.0
0.0509375,0.099688,0.005,0.979242,4.98376e-05,0.0
0.0515625,0.099688,0.005,0.979432,4.60686e-05,0.0
0.0521875,0.099688,0.005,0.979609,4.22341e-05,0.0
0.0528125,0.099688,0.005,0.979773,3.83303e-05,0.0
0.0534375,0.099688,0.005,0.979924,3.43533e-05,0.0
0.0540625,0.099688,0.005,0.980062,3.02994e-05,0.0
0.0546875,0.099688,0.005,0.980186,2.61651e-05,0.0
0.0553125,0.099688,0.005,0.980296,2.19469e-05,0.0
0.0559375,0.099688,0.005,0.980392,1.76412e-05,0.0
0.0565625,0.099688,0.005,0.980473,1.3245e-05,0.0
0.0571875,0.099688,0.005,0.980539,8.75479e-06,0.0
0.0578125,0.099688,0.005,0.98059,4.16719e-06,0.0
0.0584375,0.099688,0.005,0.980626,-5.20738e-07,0.0
0.0590625,0.099688,0.005,0.980646,-5.31235e-06,0.0
0.0596875,0.099688,0.005,0.980649,-1.02109e-05,0.0
0.0603125,0.099688,0.005,0.980637,-1.52208e-05,0.0
0.0609375,0.099688,0.005,0.980607,-2.0345e-05,0.0
0.0615625,0.099688,0.005,0.98056,-2.55872e-05,0.0
0.0621875,0.099688,0.005,0.980495,-3.09511e-05,0.0
0.0628125,0.099688,0.005,0.980412,-3.64409e-05,0.0
0.0634375,0.099688,0.005,0.980311,-4.20612e-05,0.0
0.0640625,0.099688,0.005,0.98019,-4.78166e-05,0.0
0.0646875,0.099688,0.005,0.98005,-5.37124e-05,0.0
0.0653125,0.099688,0.005,0.979891,-5.97545e-05,0.0
0.0659375,0.099688,0.005,0.97971,-6.59491e-05,0.0
0.0665625,0.099688,0.005,0.979509,-7.23035e-05,0.0
0.0671875,0.099688,0.005,0.979286,-7.88257e-05,0.0
0.0678125,0.099688,0.005,0.979041,-8.55246e-05,0.0
0.0684375,0.099688,0.005,0.978773,-9.24104e-05,0.0
0.0690625,0.099688,0.005,0.978482,-9.94946e-05,0.0
0.0696875,0.099688,0.005,0.978167,-0.00010679,0.0
0.0703125,0.099688,0.005,0.977827,-0.000114313,0.0
0.0709375,0.099688,0.005,0.977461,-0.000122079,0.0
0.0715625,0.099688,0.005,0.977069,-0.000130109,0.0
0.0721875,0.099688,0.005,0.976649,-0.000138425,0.0
0.0728125,0.099688,0.005,0.976201,-0.000147053,0.0
0.0734375,0.099688,0.005,0.975724,-0.000156024,0.0
0.0740625,0.099688,0.005,0.975215,-0.000165372,0.0
0.0746875,0.099688,0.005,0.974675,-0.000175138,0.0
0.0753125,0.099688,0.005,0.974102,-0.000185368,0.0
0.0759375,0.099688,0.005,0.973493,-0.000196118,0.0
0.0765625,0.099688,0.005,0.972848,-0.000207449,0.0
0.0771875,0.099688,0.005,0.972163,-0.000219436,0.0
0.0778125,0.099688,0.005,0.971438,-0.000232167,0.0
0.0784375,0.099688,0.005,0.970668,-0.000245742,0.0
0.0790625,0.099688,0.005,0.969852,-0.000260281,0.0
0.0796875,0.099688,0.005,0.968986,-0.000275927,0.0
0.0803125,0.099688,0.005,0.968067,-0.000292847,0.0
0.0809375,0.099688,0.005,0.967088,-0.000311242,0.0
0.0815625,0.099688,0.005,0.966047,-0.000331351,0.0
0.0821875,0.099688,0.005,0.964936,-0.000353463,0.0
0.0828125,0.099688,0.005,0.963748,-0.000377925,0.0
0.0834375,0.099688,0.005,0.962476,-0.000405161,0.0
0.0840625,0.099688,0.005,0.96111,-0.000435688,0.0
0.0846875,0.099688,0.005,0.959637,-0.000470141,0.0
0.0853125,0.099688,0.005,0.958046,-0.000509308,0.0
0.0859375,0.099688,0.005,0.956318,-0.000554171,0.0
0.0865625,0.099688,0.005,0.954434,-0.000605966,0.0
0.0871875,0.099688,0.005,0.95237,-0.000666266,0.0
0.0878125,0.099688,0.005,0.950096,-0.000737084,0.0
0.0884375,0.099688,0.005,0.947575,-0.00082104,0.0
0.0890625,0.099688,0.005,0.944762,-0.000921574,0.0
0.0896875,0.099688,0.005,0.941597,-0.00104328,0.0
0.0903125,0.099688,0.005,0.938008,-0.0011924,0.0
0.0909375,0.099688,0.005,0.933899,-0.00137757,0.0
0.0915625,0.099688,0.005,0.929146,-0.00161105,0.0
0.0921875,0.099688,0.005,0.923582,-0.00191075,0.0
