x,y,z,U_x,U_y,U_z
0.0003125,0.099063,0.005,-0.00386206,0.265052,0.0
0.0009375,0.099063,0.005,-0.00397604,0.272836,0.0
0.0015625,0.099063,0.005,0.100088,0.196714,0.0
0.0021875,0.099063,0.005,0.212021,0.138408,0.0
0.0028125,0.099063,0.005,0.305062,0.0985985,0.0
0.0034375,0.099063,0.005,0.380506,0.0713893,0.0
0.0040625,0.099063,0.005,0.441811,0.0529346,0.0
0.0046875,0.099063,0.005,0.491729,0.0403695,0.0
0.0053125,0.099063,0.005,0.532681,0.0316492,0.0
0.0059375,0.099063,0.005,0.566683,0.0254407,0.0
0.0065625,0.099063,0.005,0.595282,0.0209026,0.0
0.0071875,0.099063,0.005,0.61964,0.0175009,0.0
0.0078125,0.099063,0.005,0.640628,0.0148905,0.0
0.0084375,0.099063,0.005,0.658906,0.012845,0.0
0.0090625,0.099063,0.005,0.674978,0.0112122,0.0
0.0096875,0.099063,0.005,0.689232,0.00988748,0.0
0.0103125,0.099063,0.005,0.701973,0.00879752,0.0
0.0109375,0.099063,0.005,0.71344,0.00788948,0.0
0.0115625,0.099063,0.005,0.723826,0.00712466,0.0
0.0121875,0.099063,0.005,0.733287,0.00647414,0.0
0.0128125,0.099063,0.005,0.74195,0.005916,0.0
0.0134375,0.099063,0.005,0.749919,0.00543333,0.0
0.0140625,0.099063,0.005,0.757281,0.00501295,0.0
0.0146875,0.099063,0.005,0.764111,0.00464445,0.0
0.0153125,0.099063,0.005,0.770468,0.00431951,0.0
0.0159375,0.099063,0.005,0.776406,0.00403146,0.0
0.0165625,0.099063,0.005,0.781969,0.00377484,0.0
0.0171875,0.099063,0.005,0.787197,0.00354521,0.0
0.0178125,0.099063,0.005,0.792123,0.00333886,0.0
0.0184375,0.099063,0.005,0.796775,0.00315275,0.0
0.0190625,0.099063,0.005,0.80118,0.00298431,0.0
0.0196875,0.099063,0.005,0.805359,0.00283138,0.0
0.0203125,0.099063,0.005,0.809334,0.00269212,0.0
0.0209375,0.099063,0.005,0.81312,0.00256498,0.0
0.0215625,0.099063,0.005,0.816735,0.00244862,0.0
0.0221875,0.099063,0.005,0.820192,0.00234188,0.0
0.0228125,0.099063,0.005,0.823503,0.00224378,0.0
0.0234375,0.099063,0.005,0.82668,0.00215343,0.0
0.0240625,0.099063,0.005,0.829734,0.00207009,0.0
0.0246875,0.099063,0.005,0.832673,0.00199309,0.0
0.0253125,0.099063,0.005,0.835505,0.00192183,0.0
0.0259375,0.099063,0.005,0.83824,0.00185581,0.0
0.0265625,0.099063,0.005,0.840883,0.00179455,0.0
0.0271875,0.099063,0.005,0.843441,0.00173764,0.0
0.0278125,0.099063,0.005,0.845919,0.0016847,0.0
0.0284375,0.099063,0.005,0.848324,0.00163541,0.0
0.0290625,0.099063,0.005,0.85066,0.00158945,0.0
0.0296875,0.099063,0.005,0.852932,0.00154656,0.0
0.0303125,0.099063,0.005,0.855143,0.00150647,0.0
0.0309375,0.099063,0.005,0.857299,0.00146895,0.0
0.0315625,0.099063,0.005,0.859401,0.00143378,0.0
0.0321875,0.099063,0.005,0.861454,0.00140078,0.0
0.0328125,0.099063,0.005,0.86346,0.00136974,0.0
0.0334375,0.099063,0.005,0.865423,0.00134051,0.0
0.0340625,0.099063,0.005,0.867344,0.00131291,0.0
0.0346875,0.099063,0.005,0.869226,0.00128679,0.0
0.0353125,0.099063,0.005,0.871071,0.001262,0.0
0.0359375,0.099063,0.005,0.872881,0.00123842,0.0
0.0365625,0.099063,0.005,0.874657,0.00121591,0.0
0.0371875,0.099063,0.005,0.876402,0.00119435,0.0
0.0378125,0.099063,0.005,0.878116,0.00117361,0.0
0.0384375,0.099063,0.005,0.8798,0.00115358,0.0
0.0390625,0.099063,0.005,0.881457,0.00113416,0.0
0.0396875,0.099063,0.005,0.883086,0.00111525,0.0
0.0403125,0.099063,0.005,0.884688,0.00109673,0.0
0.0409375,0.099063,0.005,0.886264,0.00107852,0.0
0.0415625,0.099063,0.005,0.887815,0.00106053,0.0
0.0421875,0.099063,0.005,0.88934,0.00104266,0.0
0.0428125,0.099063,0.005,0.890841,0.00102484,0.0
0.0434375,0.099063,0.005,0.892316,0.00100698,0.0
0.0440625,0.099063,0.005,0.893767,0.000989002,0.0
0.0446875,0.099063,0.005,0.895193,0.000970838,0.0
0.0453125,0.099063,0.005,0.896594,0.000952418,0.0
0.0459375,0.099063,0.005,0.89797,0.000933674,0.0
0.0465625,0.099063,0.005,0.89932,0.000914544,0.0
0.0471875,0.099063,0.005,0.900643,0.000894969,0.0
0.0478125,0.099063,0.005,0.90194,0.000874893,0.0
0.0484375,0.099063,0.005,0.90321,0.000854265,0.0
0.0490625,0.099063,0.005,0.904451,0.000833036,0.0
0.0496875,0.099063,0.005,0.905664,0.000811162,0.0
0.0503125,0.099063,0.005,0.906847,0.0007886,0.0
0.0509375,0.099063,0.005,0.907999,0.000765312,0.0
0.0515625,0.099063,0.005,0.90912,0.000741262,0.0
0.0521875,0.099063,0.005,0.910208,0.000716418,0.0
0.0528125,0.099063,0.005,0.911263,0.00069075,0.0
0.0534375,0.099063,0.005,0.912283,0.00066423,0.0
0.0540625,0.099063,0.005,0.913267,0.000636833,0.0
0.0546875,0.099063,0.005,0.914214,0.000608536,0.0
0.0553125,0.099063,0.005,0.915123,0.000579318,0.0
0.0559375,0.099063,0.005,0.915993,0.000549156,0.0
