x,y,z,U_x,U_y,U_z
0.0003125,0.099063,0.005,0.00601475,0.278692,0.0
0.0009375,0.099063,0.005,0.0150596,0.290694,0.0
0.0015625,0.099063,0.005,0.13171,0.208372,0.0
0.0021875,0.099063,0.005,0.25592,0.143358,0.0
0.0028125,0.099063,0.005,0.357336,0.0995676,0.0
0.0034375,0.099063,0.005,0.437859,0.0706071,0.0
0.0040625,0.099063,0.005,0.501952,0.0515748,0.0
0.0046875,0.099063,0.005,0.55319,0.0389256,0.0
0.0053125,0.099063,0.005,0.594593,0.0302955,0.0
0.0059375,0.099063,0.005,0.62854,0.0242199,0.0
0.0065625,0.099063,0.005,0.656793,0.0198087,0.0
0.0071875,0.099063,0.005,0.680634,0.0165141,0.0
0.0078125,0.099063,0.005,0.70101,0.0139912,0.0
0.0084375,0.099063,0.005,0.718624,0.0120173,0.0
0.0090625,0.099063,0.005,0.734005,0.010444,0.0
0.0096875,0.099063,0.005,0.747559,0.00917015,0.0
0.0103125,0.099063,0.005,0.759601,0.00812441,0.0
0.0109375,0.099063,0.005,0.770378,0.00725558,0.0
0.0115625,0.099063,0.005,0.780088,0.00652604,0.0
0.0121875,0.099063,0.005,0.788889,0.00590763,0.0
0.0128125,0.099063,0.005,0.796911,0.00537894,0.0
0.0134375,0.099063,0.005,0.804258,0.00492345,0.0
0.0140625,0.099063,0.005,0.811019,0.00452826,0.0
0.0146875,0.099063,0.005,0.817268,0.00418315,0.0
0.0153125,0.099063,0.005,0.823064,0.00387999,0.0
0.0159375,0.099063,0.005,0.828462,0.0036122,0.0
0.0165625,0.099063,0.005,0.833504,0.00337445,0.0
0.0171875,0.099063,0.005,0.83823,0.00316235,0.0
0.0178125,0.099063,0.005,0.842671,0.0029723,0.0
0.0184375,0.099063,0.005,0.846856,0.00280128,0.0
0.0190625,0.099063,0.005,0.850809,0.00264679,0.0
0.0196875,0.099063,0.005,0.854553,0.00250671,0.0
0.0203125,0.099063,0.005,0.858106,0.00237924,0.0
0.0209375,0.099063,0.005,0.861485,0.00226287,0.0
0.0215625,0.099063,0.005,0.864703,0.0021563,0.0
0.0221875,0.099063,0.005,0.867775,0.00205839,0.0
0.0228125,0.099063,0.005,0.870712,0.0019682,0.0
0.0234375,0.099063,0.005,0.873523,0.00188488,0.0
0.0240625,0.099063,0.005,0.87622,0.0018077,0.0
0.0246875,0.099063,0.005,0.878808,0.00173602,0.0
0.0253125,0.099063,0.005,0.881297,0.00166929,0.0
0.0259375,0.099063,0.005,0.883693,0.00160702,0.0
0.0265625,0.099063,0.005,0.886002,0.00154877,0.0
0.0271875,0.099063,0.005,0.888229,0.00149415,0.0
0.0278125,0.099063,0.005,0.890379,0.00144282,0.0
0.0284375,0.099063,0.005,0.892457,0.00139447,0.0
0.0290625,0.099063,0.005,0.894467,0.00134883,0.0
0.0296875,0.099063,0.005,0.896412,0.00130566,0.0
0.0303125,0.099063,0.005,0.898297,0.00126472,0.0
0.0309375,0.099063,0.005,0.900124,0.00122582,0.0
0.0315625,0.099063,0.005,0.901896,0.00118877,0.0
0.0321875,0.099063,0.005,0.903615,0.0011534,0.0
0.0328125,0.099063,0.005,0.905284,0.00111957,0.0
0.0334375,0.099063,0.005,0.906905,0.00108713,0.0
0.0340625,0.099063,0.005,0.90848,0.00105595,0.0
0.0346875,0.099063,0.005,0.910011,0.00102592,0.0
0.0353125,0.099063,0.005,0.911499,0.000996927,0.0
0.0359375,0.099063,0.005,0.912946,0.000968866,0.0
0.0365625,0.099063,0.005,0.914353,0.000941643,0.0
0.0371875,0.099063,0.005,0.915721,0.000915171,0.0
0.0378125,0.099063,0.005,0.917051,0.000889368,0.0
0.0384375,0.099063,0.005,0.918345,0.000864156,0.0
0.0390625,0.099063,0.005,0.919603,0.000839464,0.0
0.0396875,0.099063,0.005,0.920825,0.000815221,0.0
0.0403125,0.099063,0.005,0.922013,0.000791365,0.0
0.0409375,0.099063,0.005,0.923167,0.000767834,0.0
0.0415625,0.099063,0.005,0.924288,0.00074457,0.0
0.0421875,0.099063,0.005,0.925375,0.000721519,0.0
0.0428125,0.099063,0.005,0.926429,0.000698629,0.0
0.0434375,0.099063,0.005,0.927451,0.00067585,0.0
0.0440625,0.099063,0.005,0.92844,0.000653134,0.0
0.0446875,0.099063,0.005,0.929397,0.000630437,0.0
0.0453125,0.099063,0.005,0.930321,0.000607715,0.0
0.0459375,0.099063,0.005,0.931213,0.000584927,0.0
0.0465625,0.099063,0.005,0.932073,0.000562033,0.0
0.0471875,0.099063,0.005,0.9329,0.000538994,0.0
0.0478125,0.099063,0.005,0.933694,0.000515775,0.0
0.0484375,0.099063,0.005,0.934456,0.000492339,0.0
0.0490625,0.099063,0.005,0.935183,0.000468653,0.0
0.0496875,0.099063,0.005,0.935877,0.000444683,0.0
0.0503125,0.099063,0.005,0.936538,0.000420399,0.0
0.0509375,0.099063,0.005,0.937163,0.000395768,0.0
0.0515625,0.099063,0.005,0.937753,0.000370762,0.0
0.0521875,0.099063,0.005,0.938308,0.000345352,0.0
0.0528125,0.099063,0.005,0.938827,0.000319509,0.0
0.0534375,0.099063,0.005,0.939309,0.000293208,0.0
0.0540625,0.099063,0.005,0.939754,0.00026642,0.0
0.0546875,0.099063,0.005,0.94016,0.00023912,0.0
0.0553125,0.099063,0.005,0.940528,0.000211283,0.0
0.0559375,0.099063,0.005,0.940856,0.000182884,0.0
0.0565625,0.099063,0.005,0.941144,0.000153898,0.0
0.0571875,0.099063,0.005,0.94139,0.000124301,0.0
0.0578125,0.099063,0.005,0.941595,9.40698e-05,0.0
0.0584375,0.099063,0.005,0.941756,6.31793e-05,0.0
0.0590625,0.099063,0.005,0.941874,3.16056e-05,0.0
0.0596875,0.099063,0.005,0.941946,-6.75484e-07,0.0
0.0603125,0.099063,0.005,0.941973,-3.36902e-05,0.0
0.0609375,0.099063,0.005,0.941953,-6.74639e-05,0.0
0.0615625,0.099063,0.005,0.941884,-0.000102023,0.0
0.0621875,0.099063,0.005,0.941767,-0.000137395,0.0
0.0628125,0.099063,0.005,0.941598,-0.00017361,0.0
0.0634375,0.099063,0.005,0.941379,-0.000210699,0.0
0.0640625,0.099063,0.005,0.941106,-0.000248695,0.0
0.0646875,0.099063,0.005,0.94078,-0.000287634,0.0
0.0653125,0.099063,0.005,0.940397,-0.000327557,0.0
0.0659375,0.099063,0.005,0.939958,-0.000368506,0.0
0.0665625,0.099063,0.005,0.93946,-0.00041053,0.0
0.0671875,0.099063,0.005,0.938902,-0.000453681,0.0
0.0678125,0.099063,0.005,0.938283,-0.00049802,0.0
0.0684375,0.099063,0.005,0.9376,-0.000543614,0.0
0.0690625,0.099063,0.005,0.936852,-0.000590538,0.0
0.0696875,0.099063,0.005,0.936036,-0.000638877,0.0
0.0703125,0.099063,0.005,0.935151,-0.000688729,0.0
0.0709375,0.099063,0.005,0.934195,-0.000740205,0.0
0.0715625,0.099063,0.005,0.933165,-0.000793432,0.0
0.0721875,0.099063,0.005,0.932058,-0.000848554,0.0
0.0728125,0.099063,0.005,0.930872,-0.00090574,0.0
0.0734375,0.099063,0.005,0.929603,-0.00096518,0.0
0.0740625,0.099063,0.005,0.928249,-0.0010271,0.0
0.0746875,0.099063,0.005,0.926806,-0.00109175,0.0
0.0753125,0.099063,0.005,0.925269,-0.00115943,0.0
0.0759375,0.099063,0.005,0.923635,-0.00123048,0.0
0.0765625,0.099063,0.005,0.921897,-0.00130532,0.0
0.0771875,0.099063,0.005,0.920052,-0.0013844,0.0
0.0778125,0.099063,0.005,0.918091,-0.00146827,0.0
0.0784375,0.099063,0.005,0.916009,-0.00155759,0.0
0.0790625,0.099063,0.005,0.913797,-0.0016531,0.0
0.0796875,0.099063,0.005,0.911446,-0.00175571,0.0
0.0803125,0.099063,0.005,0.908945,-0.00186649,0.0
0.0809375,0.099063,0.005,0.906283,-0.0019867,0.0
0.0815625,0.099063,0.005,0.903445,-0.00211785,0.0
0.0821875,0.099063,0.005,0.900414,-0.00226178,0.0
0.0828125,0.099063,0.005,0.897173,-0.00242066,0.0
0.0834375,0.099063,0.005,0.893698,-0.00259718,0.0
0.0840625,0.099063,0.005,0.889963,-0.00279458,0.0
0.0846875,0.099063,0.005,0.885937,-0.00301685,0.0
