x,y,z,U_x,U_y,U_z
0.0003125,0.099688,0.005,0.275692,0.141001,0.0
0.0009375,0.099688,0.005,0.349569,0.122478,0.0
0.0015625,0.099688,0.005,0.490941,0.0776541,0.0
0.0021875,0.099688,0.005,0.599331,0.049029,0.0
0.0028125,0.099688,0.005,0.668766,0.0318121,0.0
0.0034375,0.099688,0.005,0.715913,0.0210091,0.0
0.0040625,0.099688,0.005,0.750255,0.0141968,0.0
0.0046875,0.099688,0.005,0.776138,0.00991655,0.0
0.0053125,0.099688,0.005,0.79615,0.00719398,0.0
0.0059375,0.099688,0.005,0.81205,0.00541799,0.0
0.0065625,0.099688,0.005,0.825013,0.00422403,0.0
0.0071875,0.099688,0.005,0.835812,0.00339537,0.0
0.0078125,0.099688,0.005,0.844972,0.00280124,0.0
0.0084375,0.099688,0.005,0.852861,0.00236161,0.0
0.0090625,0.099688,0.005,0.859744,0.00202667,0.0
0.0096875,0.099688,0.005,0.865814,0.00176484,0.0
0.0103125,0.099688,0.005,0.87122,0.00155551,0.0
0.0109375,0.099688,0.005,0.876071,0.00138495,0.0
0.0115625,0.099688,0.005,0.880457,0.00124368,0.0
0.0121875,0.099688,0.005,0.884446,0.00112506,0.0
0.0128125,0.099688,0.005,0.888095,0.00102426,0.0
0.0134375,0.099688,0.005,0.891448,0.000937719,0.0
0.0140625,0.099688,0.005,0.894543,0.000862755,0.0
0.0146875,0.099688,0.005,0.897413,0.000797305,0.0
0.0153125,0.099688,0.005,0.900081,0.000739763,0.0
0.0159375,0.099688,0.005,0.902572,0.000688857,0.0
0.0165625,0.099688,0.005,0.904904,0.000643572,0.0
0.0171875,0.099688,0.005,0.907092,0.000603084,0.0
0.0178125,0.099688,0.005,0.909152,0.000566722,0.0
0.0184375,0.099688,0.005,0.911095,0.000533931,0.0
0.0190625,0.099688,0.005,0.912933,0.000504253,0.0
0.0196875,0.099688,0.005,0.914674,0.000477301,0.0
0.0203125,0.099688,0.005,0.916326,0.000452752,0.0
0.0209375,0.099688,0.005,0.917898,0.000430329,0.0
0.0215625,0.099688,0.005,0.919396,0.000409799,0.0
0.0221875,0.099688,0.005,0.920826,0.00039096,0.0
0.0228125,0.099688,0.005,0.922193,0.00037364,0.0
0.0234375,0.099688,0.005,0.923501,0.000357687,0.0
0.0240625,0.099688,0.005,0.924756,0.000342971,0.0
0.0246875,0.099688,0.005,0.925961,0.000329377,0.0
0.0253125,0.099688,0.005,0.92712,0.000316805,0.0
0.0259375,0.099688,0.005,0.928236,0.000305167,0.0
0.0265625,0.099688,0.005,0.929312,0.000294384,0.0
0.0271875,0.099688,0.005,0.93035,0.000284388,0.0
0.0278125,0.099688,0.005,0.931354,0.000275116,0.0
0.0284375,0.099688,0.005,0.932326,0.000266512,0.0
0.0290625,0.099688,0.005,0.933268,0.000258527,0.0
0.0296875,0.099688,0.005,0.934182,0.000251114,0.0
0.0303125,0.099688,0.005,0.935069,0.000244233,0.0
0.0309375,0.099688,0.005,0.935932,0.000237846,0.0
0.0315625,0.099688,0.005,0.936772,0.000231919,0.0
0.0321875,0.099688,0.005,0.937591,0.000226418,0.0
0.0328125,0.099688,0.005,0.938391,0.000221316,0.0
0.0334375,0.099688,0.005,0.939171,0.000216582,0.0
0.0340625,0.099688,0.005,0.939935,0.000212191,0.0
0.0346875,0.099688,0.005,0.940682,0.000208117,0.0
0.0353125,0.099688,0.005,0.941415,0.000204337,0.0
0.0359375,0.099688,0.005,0.942133,0.000200827,0.0
0.0365625,0.099688,0.005,0.942838,0.000197565,0.0
0.0371875,0.099688,0.005,0.943531,0.000194528,0.0
0.0378125,0.099688,0.005,0.944213,0.000191694,0.0
0.0384375,0.099688,0.005,0.944883,0.000189043,0.0
0.0390625,0.099688,0.005,0.945544,0.000186552,0.0
0.0396875,0.099688,0.005,0.946196,0.000184202,0.0
0.0403125,0.099688,0.005,0.946838,0.00018197,0.0
0.0409375,0.099688,0.005,0.947472,0.000179835,0.0
0.0415625,0.099688,0.005,0.948098,0.000177777,0.0
0.0421875,0.099688,0.005,0.948716,0.000175773,0.0
0.0428125,0.099688,0.005,0.949327,0.000173803,0.0
0.0434375,0.099688,0.005,0.949931,0.000171845,0.0
0.0440625,0.099688,0.005,0.950527,0.00016988,0.0
0.0446875,0.099688,0.005,0.951117,0.000167885,0.0
0.0453125,0.099688,0.005,0.951699,0.000165842,0.0
0.0459375,0.099688,0.005,0.952275,0.00016373,0.0
0.0465625,0.099688,0.005,0.952844,0.00016153,0.0
0.0471875,0.099688,0.005,0.953405,0.000159223,0.0
0.0478125,0.099688,0.005,0.953959,0.000156792,0.0
0.0484375,0.099688,0.005,0.954506,0.000154218,0.0
0.0490625,0.099688,0.005,0.955044,0.000151485,0.0
0.0496875,0.099688,0.005,0.955575,0.000148579,0.0
0.0503125,0.099688,0.005,0.956096,0.000145484,0.0
0.0509375,0.099688,0.005,0.956608,0.00014219,0.0
0.0515625,0.099688,0.005,0.95711,0.000138685,0.0
0.0521875,0.099688,0.005,0.957603,0.00013496,0.0
0.0528125,0.099688,0.005,0.958084,0.000131007,0.0
0.0534375,0.099688,0.005,0.958554,0.00012682,0.0
0.0540625,0.099688,0.005,0.959011,0.000122397,0.0
0.0546875,0.099688,0.005,0.959456,0.000117732,0.0
0.0553125,0.099688,0.005,0.959888,0.000112827,0.0
0.0559375,0.099688,0.005,0.960306,0.00010768,0.0
0.0565625,0.099688,0.005,0.960708,0.000102295,0.0
0.0571875,0.099688,0.005,0.961096,9.66759e-05,0.0
0.0578125,0.099688,0.005,0.961467,9.0829e-05,0.0
0.0584375,0.099688,0.005,0.961821,8.47607e-05,0.0
0.0590625,0.099688,0.005,0.962158,7.84793e-05,0.0
0.0596875,0.099688,0.005,0.962477,7.19932e-05,0.0
0.0603125,0.099688,0.005,0.962776,6.53109e-05,0.0
0.0609375,0.099688,0.005,0.963057,5.84408e-05,0.0
0.0615625,0.099688,0.005,0.963317,5.1391e-05,0.0
0.0621875,0.099688,0.005,0.963557,4.41703e-05,0.0
0.0628125,0.099688,0.005,0.963776,3.67866e-05,0.0
0.0634375,0.099688,0.005,0.963973,2.92464e-05,0.0
0.0640625,0.099688,0.005,0.964147,2.1554e-05,0.0
0.0646875,0.099688,0.005,0.964299,1.37104e-05,0.0
0.0653125,0.099688,0.005,0.964428,5.7135e-06,0.0
0.0659375,0.099688,0.005,0.964532,-2.44265e-06,0.0
0.0665625,0.099688,0.005,0.964613,-1.07677e-05,0.0
0.0671875,0.099688,0.005,0.964668,-1.92741e-05,0.0
0.0678125,0.099688,0.005,0.964697,-2.79784e-05,0.0
0.0684375,0.099688,0.005,0.964701,-3.6872e-05,0.0
0.0690625,0.099688,0.005,0.964677,-4.60452e-05,0.0
0.0696875,0.099688,0.005,0.964625,-5.5494e-05,0.0
0.0703125,0.099688,0.005,0.964545,-6.5318e-05,0.0
0.0709375,0.099688,0.005,0.964436,-7.55278e-05,0.0
0.0715625,0.099688,0.005,0.964295,-8.61922e-05,0.0
0.0721875,0.099688,0.005,0.964122,-9.73837e-05,0.0
0.0728125,0.099688,0.005,0.963916,-0.000109187,0.0
0.0734375,0.099688,0.005,0.963674,-0.000121701,0.0
0.0740625,0.099688,0.005,0.963395,-0.000135039,0.0
0.0746875,0.099688,0.005,0.963076,-0.00014932,0.0
0.0753125,0.099688,0.005,0.962715,-0.000164678,0.0
0.0759375,0.099688,0.005,0.962309,-0.00018126,0.0
0.0765625,0.099688,0.005,0.961854,-0.000199238,0.0
0.0771875,0.099688,0.005,0.961346,-0.000218799,0.0
0.0778125,0.099688,0.005,0.960782,-0.000240143,0.0
0.0784375,0.099688,0.005,0.960156,-0.000263483,0.0
0.0790625,0.099688,0.005,0.959462,-0.000289053,0.0
0.0796875,0.099688,0.005,0.958695,-0.000317119,0.0
0.0803125,0.099688,0.005,0.957848,-0.000347968,0.0
0.0809375,0.099688,0.005,0.956912,-0.000381903,0.0
0.0815625,0.099688,0.005,0.95588,-0.000419244,0.0
0.0821875,0.099688,0.005,0.954742,-0.000460351,0.0
0.0828125,0.099688,0.005,0.953487,-0.00050563,0.0
0.0834375,0.099688,0.005,0.952103,-0.000555517,0.0
0.0840625,0.099688,0.005,0.950578,-0.000610487,0.0
0.0846875,0.099688,0.005,0.948897,-0.000671079,0.0
0.0853125,0.099688,0.005,0.947044,-0.000737933,0.0
0.0859375,0.099688,0.005,0.945001,-0.000811791,0.0
0.0865625,0.099688,0.005,0.942748,-0.000893527,0.0
0.0871875,0.099688,0.005,0.940263,-0.000984226,0.0
0.0878125,0.099688,0.005,0.937519,-0.00108527,0.0
0.0884375,0.099688,0.005,0.934486,-0.00119843,0.0
0.0890625,0.099688,0.005,0.931129,-0.00132606,0.0
0.0896875,0.099688,0.005,0.927406,-0.0014713,0.0
0.0903125,0.099688,0.005,0.923265,-0.00163854,0.0
0.0909375,0.099688,0.005,0.918642,-0.00183387,0.0
0.0915625,0.099688,0.005,0.913455,-0.00206603,0.0
0.0921875,0.099688,0.005,0.907596,-0.00234776,0.0
0.0928125,0.099688,0.005,0.900917,-0.0026981,0.0
0.0934375,0.099688,0.005,0.893217,-0.00314625,0.0
0.0940625,0.099688,0.005,0.884201,-0.00373869,0.0
0.0946875,0.099688,0.005,0.87343,-0.00455285,0.0
0.0953125,0.099688,0.005,0.86021,-0.0057261,0.0
0.0959375,0.099688,0.005,0.843376,-0.00752454,0.0
0.0965625,0.099688,0.005,0.820776,-0.0105298,0.0
0.0971875,0.099688,0.005,0.787978,-0.0161914,0.0
0.0978125,0.099688,0.005,0.735428,-0.0286052,0.0
0.0984375,0.099688,0.005,0.636568,-0.0584725,0.0
0.0990625,0.099688,0.005,0.459458,-0.120586,0.0
0.0996875,0.099688,0.005,0.329848,-0.156357,0.0
